отсчеты;Канал0;Канал1;
0;1.062927246;0.9368896484;
1;1.061706543;0.9368896484;
2;1.061706543;0.9359741211;
3;1.061096191;0.9365844727;
4;1.063537598;0.9362792969;
5;1.061706543;0.9368896484;
6;1.060791016;0.9371948242;
7;1.060791016;0.9359741211;
8;1.05682373;0.9356689453;
9;1.058654785;0.934753418;
10;1.057739258;0.9365844727;
11;1.058654785;0.9365844727;
12;1.058959961;0.9359741211;
13;1.058044434;0.934753418;
14;1.057739258;0.9350585938;
15;1.056518555;0.934753418;
16;1.056518555;0.934753418;
17;1.056518555;0.934753418;
18;1.057739258;0.9359741211;
19;1.059570313;0.9356689453;
20;1.058959961;0.9353637695;
21;1.058349609;0.9350585938;
22;1.059570313;0.9350585938;
23;1.060180664;0.9359741211;
24;1.059570313;0.9365844727;
25;1.058959961;0.9365844727;
26;1.059265137;0.9365844727;
27;1.060791016;0.9365844727;
28;1.059570313;0.9368896484;
29;1.059265137;0.9371948242;
30;1.059265137;0.9371948242;
31;1.059570313;0.9365844727;
32;1.057128906;0.9365844727;
33;1.057434082;0.9368896484;
34;1.058959961;0.9365844727;
35;1.059265137;0.934753418;
36;1.059265137;0.9350585938;
37;1.056213379;0.9356689453;
38;1.057739258;0.9359741211;
39;1.059570313;0.9362792969;
40;1.056213379;0.9362792969;
41;1.056213379;0.9359741211;
42;1.058044434;0.9359741211;
43;1.058654785;0.9359741211;
44;1.058654785;0.9362792969;
45;1.05682373;0.9359741211;
46;1.059265137;0.9362792969;
47;1.061096191;0.9368896484;
48;1.05682373;0.9365844727;
49;1.055297852;0.9356689453;
50;1.055908203;0.9356689453;
51;1.058654785;0.9356689453;
52;1.05682373;0.9344482422;
53;1.056213379;0.9341430664;
54;1.056518555;0.9350585938;
55;1.055908203;0.934753418;
56;1.056213379;0.9341430664;
57;1.055908203;0.9341430664;
58;1.056213379;0.9338378906;
59;1.054382324;0.9329223633;
60;1.0546875;0.9326171875;
61;1.055603027;0.9332275391;
62;1.055297852;0.9335327148;
63;1.055603027;0.9329223633;
64;1.055908203;0.9329223633;
65;1.053161621;0.9320068359;
66;1.054077148;0.9323120117;
67;1.055297852;0.9323120117;
68;1.053771973;0.9323120117;
69;1.054382324;0.9323120117;
70;1.051025391;0.9326171875;
71;1.052856445;0.9317016602;
72;1.054382324;0.9320068359;
73;1.052856445;0.9320068359;
74;1.053771973;0.9317016602;
75;1.051025391;0.9326171875;
76;1.051025391;0.9332275391;
77;1.051330566;0.9329223633;
78;1.051635742;0.9329223633;
79;1.051635742;0.9332275391;
80;1.050720215;0.9344482422;
81;1.051025391;0.934753418;
82;1.054077148;0.9341430664;
83;1.053466797;0.9335327148;
84;1.05255127;0.9335327148;
85;1.052246094;0.9344482422;
86;1.04888916;0.9359741211;
87;1.04888916;0.9353637695;
88;1.050109863;0.9332275391;
89;1.054077148;0.9344482422;
90;1.056213379;0.9335327148;
91;1.053771973;0.9332275391;
92;1.051330566;0.9323120117;
93;1.052856445;0.9326171875;
94;1.05682373;0.9329223633;
95;1.05682373;0.9329223633;
96;1.0546875;0.9317016602;
97;1.054382324;0.9298706055;
98;1.055297852;0.9317016602;
99;1.05682373;0.9313964844;
100;1.055603027;0.9310913086;
101;1.057739258;0.9310913086;
102;1.058959961;0.9320068359;
103;1.05682373;0.9320068359;
104;1.055603027;0.9323120117;
105;1.058349609;0.9323120117;
106;1.059265137;0.9323120117;
107;1.055908203;0.9317016602;
108;1.055297852;0.9313964844;
109;1.054992676;0.9310913086;
110;1.058959961;0.9317016602;
111;1.058959961;0.9320068359;
112;1.058044434;0.9313964844;
113;1.05682373;0.9298706055;
114;1.054382324;0.9307861328;
115;1.055908203;0.930480957;
116;1.05682373;0.930480957;
117;1.057128906;0.9292602539;
118;1.056213379;0.9298706055;
119;1.055603027;0.9307861328;
120;1.058654785;0.9307861328;
121;1.059265137;0.9301757813;
122;1.057739258;0.9307861328;
123;1.056518555;0.930480957;
124;1.055908203;0.9320068359;
125;1.058959961;0.9320068359;
126;1.060791016;0.9317016602;
127;1.058654785;0.9317016602;
128;1.05682373;0.9323120117;
129;1.058044434;0.9326171875;
130;1.056518555;0.9317016602;
131;1.055908203;0.9323120117;
132;1.05682373;0.9326171875;
133;1.057739258;0.9335327148;
134;1.058654785;0.9332275391;
135;1.055908203;0.9323120117;
136;1.055603027;0.9329223633;
137;1.059570313;0.9335327148;
138;1.058959961;0.9335327148;
139;1.056213379;0.9338378906;
140;1.0546875;0.9341430664;
141;1.056518555;0.9341430664;
142;1.056518555;0.9335327148;
143;1.054382324;0.9338378906;
144;1.05255127;0.9338378906;
145;1.053771973;0.9341430664;
146;1.051330566;0.9335327148;
147;1.051330566;0.9323120117;
148;1.051940918;0.9326171875;
149;1.050415039;0.9329223633;
150;1.050109863;0.9329223633;
151;1.049499512;0.9323120117;
152;1.053771973;0.9326171875;
153;1.054077148;0.9329223633;
154;1.050720215;0.9329223633;
155;1.050720215;0.9313964844;
156;1.050415039;0.9298706055;
157;1.052856445;0.9307861328;
158;1.050720215;0.9320068359;
159;1.049804688;0.9323120117;
160;1.049194336;0.9323120117;
161;1.050720215;0.9317016602;
162;1.048583984;0.9320068359;
163;1.04675293;0.9320068359;
164;1.04888916;0.9320068359;
165;1.050720215;0.9317016602;
166;1.049194336;0.9317016602;
167;1.045837402;0.9323120117;
168;1.044311523;0.9323120117;
169;1.044616699;0.9317016602;
170;1.046142578;0.9317016602;
171;1.046142578;0.9320068359;
172;1.042480469;0.9310913086;
173;1.044006348;0.9317016602;
174;1.046447754;0.9307861328;
175;1.046142578;0.9310913086;
176;1.045532227;0.9317016602;
177;1.045227051;0.9310913086;
178;1.045227051;0.9298706055;
179;1.043395996;0.9298706055;
180;1.040649414;0.9298706055;
181;1.039123535;0.9298706055;
182;1.031799316;0.9298706055;
183;1.031799316;0.9298706055;
184;1.036682129;0.9298706055;
185;1.033630371;0.9301757813;
186;1.036071777;0.9298706055;
187;1.036376953;0.9301757813;
188;1.036987305;0.9292602539;
189;1.035766602;0.9295654297;
190;1.033935547;0.9295654297;
191;1.036376953;0.9292602539;
192;1.034851074;0.9283447266;
193;1.034240723;0.9289550781;
194;1.033630371;0.9286499023;
195;1.03515625;0.927734375;
196;1.036071777;0.9259033203;
197;1.034851074;0.9265136719;
198;1.038208008;0.9274291992;
199;1.040344238;0.9271240234;
200;1.041259766;0.9252929688;
201;1.040649414;0.9255981445;
202;1.044311523;0.9265136719;
203;1.047363281;0.9268188477;
204;1.044921875;0.9259033203;
205;1.039733887;0.9268188477;
206;1.041564941;0.9283447266;
207;1.045837402;0.9286499023;
208;1.041870117;0.9292602539;
209;1.039733887;0.9298706055;
210;1.04095459;0.9307861328;
211;1.043395996;0.9313964844;
212;1.047058105;0.9320068359;
213;1.045227051;0.9313964844;
214;1.041564941;0.9320068359;
215;1.050415039;0.9317016602;
216;1.049194336;0.9310913086;
217;1.046142578;0.9313964844;
218;1.045837402;0.9317016602;
219;1.044311523;0.9320068359;
220;1.048278809;0.9317016602;
221;1.039428711;0.9310913086;
222;1.032409668;0.9317016602;
223;1.037902832;0.9320068359;
224;1.039733887;0.9323120117;
225;1.042175293;0.9323120117;
226;1.043701172;0.9323120117;
227;1.041870117;0.9323120117;
228;1.041564941;0.9320068359;
229;1.04095459;0.9323120117;
230;1.044311523;0.9326171875;
231;1.04675293;0.9320068359;
232;1.044311523;0.9326171875;
233;1.04309082;0.9326171875;
234;1.042785645;0.9323120117;
235;1.045837402;0.9317016602;
236;1.045837402;0.9323120117;
237;1.041870117;0.9326171875;
238;1.04095459;0.9323120117;
239;1.046447754;0.9323120117;
240;1.052856445;0.9332275391;
241;1.05255127;0.9335327148;
242;1.047363281;0.9335327148;
243;1.04095459;0.9335327148;
244;1.043395996;0.9326171875;
245;1.047668457;0.9323120117;
246;1.045227051;0.9323120117;
247;1.044921875;0.9332275391;
248;1.045837402;0.9335327148;
249;1.047058105;0.9335327148;
